
============================================================
 HPO: unet (20 trials x 50 epochs)
============================================================
  0%|          | 0/20 [00:00<?, ?it/s]  Ep   1/50 | loss=1.9847 | val dir=0.386 int=0.456 *
Best trial: 4. Best value: 0.613699:  35%|███▌      | 7/20 [1:18:46<2:07:54, 590.37s/it]Best trial: 4. Best value: 0.613699:  40%|████      | 8/20 [1:18:46<2:11:10, 655.91s/it]  Ep   1/50 | loss=2.0455 | val dir=0.319 int=0.568 *
  Ep   2/50 | loss=1.8808 | val dir=0.373 int=0.500 *
  Ep   3/50 | loss=1.7809 | val dir=0.458 int=0.552 *
  Ep   5/50 | loss=1.6762 | val dir=0.500 int=0.607 *
  Ep   7/50 | loss=1.6332 | val dir=0.511 int=0.567 *
  Ep   8/50 | loss=1.6134 | val dir=0.514 int=0.600 *
  Ep  10/50 | loss=1.5664 | val dir=0.548 int=0.527 *
  Ep  20/50 | loss=1.3511 | val dir=0.510 int=0.582
  Early stop at ep 22
Best trial: 4. Best value: 0.613699:  40%|████      | 8/20 [1:23:17<2:11:10, 655.91s/it]Best trial: 4. Best value: 0.613699:  45%|████▌     | 9/20 [1:23:17<1:38:12, 535.68s/it]  Ep   1/50 | loss=2.1384 | val dir=0.255 int=0.121 *
  Ep   3/50 | loss=2.0731 | val dir=0.270 int=0.456 *
  Ep   4/50 | loss=2.0128 | val dir=0.362 int=0.574 *
  Ep   8/50 | loss=1.8119 | val dir=0.389 int=0.527 *
  Ep  10/50 | loss=1.7160 | val dir=0.434 int=0.534 *
  Ep  11/50 | loss=1.6731 | val dir=0.512 int=0.574 *
  Ep  17/50 | loss=1.5894 | val dir=0.525 int=0.568 *
  Ep  20/50 | loss=1.5440 | val dir=0.523 int=0.629
  Ep  21/50 | loss=1.5306 | val dir=0.533 int=0.584 *
  Ep  25/50 | loss=1.5096 | val dir=0.559 int=0.581 *
  Ep  27/50 | loss=1.4792 | val dir=0.570 int=0.556 *
  Ep  30/50 | loss=1.4495 | val dir=0.523 int=0.527
  Early stop at ep 39
Best trial: 4. Best value: 0.613699:  45%|████▌     | 9/20 [1:33:45<1:38:12, 535.68s/it]Best trial: 4. Best value: 0.613699:  50%|█████     | 10/20 [1:33:45<1:34:03, 564.31s/it]  Ep   1/50 | loss=2.1599 | val dir=0.095 int=0.453 *
